id,objek,nama,letak,kecamatan,kabupaten,kode_pos,potensi,image_url
1,Pantai,Pantai Mali,Kabola,Teluk Mutiara,Alor,,"Pepohonan kepala, pasir putih, karang laut yang indah",https://i.imgur.com/qEdgZgL.jpeg
2,Pantai,Pantai Maimol,Kabola,Teluk Mutiara,Alor,,Perkampungan dan Kehidupan Nelayan Tradisonal,https://i.imgur.com/VeJOS7Q.jpeg
3,Pantai,Pantai Deere,Pantai Deere,Teluk Mutiara,Alor,,"Pantai putih, karang yang indah",https://i.imgur.com/ygaTYw9.jpeg
4,Pantai,Pantai Sebanjar,Alor Besar,ABAL,Alor,,"Pasir putih, taman laut",https://i.imgur.com/6Dfphqc.jpeg
5,Pantai,Pantai Ling'al,Desa Haleman,ABAD,Alor,,"Pasir putih sepanjang pantai, padang ilalang yang menguning di pinggir pantai",https://i.imgur.com/vJmP8ZR.jpeg
6,Pantai,Taman Laut Selat Pantar,"AMPERA, ALOR KECIL, PULAU KEPA, PULAU PURA, PULAU BUAYA, ALOR BESAR, WOLWAL",ABAL dan ABAD,Alor,,"Arus laut dingin, aneka ragam biota laut (ikan, karang laut, dan hewan laut lainnya. (terdapat 45 titik selam)",https://i.imgur.com/X4dTeIc.jpeg
7,Pantai,Teluk Gurita,Desa Dualaus,Kakuluk Mesak,Belu,,,https://i.imgur.com/K45KT83.jpeg
8,Pantai,Pantai dan Batu Penggajawa,,,Ende,,,https://i.imgur.com/a8oxvHM.jpeg
9,Pantai,Pantai Bita,Mautapaga,,Ende,,,https://i.imgur.com/LHtXFvm.jpeg
10,Pantai,Pantai Ende,Kotaraja,,Ende,,,https://i.imgur.com/IMPY653.jpeg
11,Pantai,Pantai Nuha Waibalun,,Larantuka,Flores Timur,,,https://i.imgur.com/inDBcN0.jpeg
12,Pantai,Pantai Baun Boting,Halakodanuan,Ile Mandiri,Flores Timur,,,https://i.imgur.com/BRIX8Kj.png
13,Pantai,Pantai Riang Sunge,Ritabeng,Wulanggitang,Flores Timur,,,https://i.imgur.com/T6Sliyz.jpeg
14,Pantai,Pantai Rako,Hewa,Wulanggitang,Flores Timur,,,https://i.imgur.com/CJHsOp5.jpeg
15,Pantai,Pantai Oa,Pantai Oa,Wulanggitang,Flores Timur,,,https://i.imgur.com/6noiqIY.jpeg
16,Pantai,Pantai Watotena,Bedalewun,Ile Boleng,Flores Timur,,,https://i.imgur.com/ihLHMdT.jpeg
17,Pantai,Pantai Weramean,Nelereren,Ile Boleng,Flores Timur,,,https://i.imgur.com/VnhucGo.jpeg
18,Pantai,Pantai Wini,Tuagoetobi,Witihama,Flores Timur,,,https://i.imgur.com/itcBeNd.jpeg
